"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"sampleSize",10,60,110,160,210,260,310,360,410,460
"",0.642857142857143,0.666666666666667,0.476190476190476,0.547619047619048,0.571428571428571,0.5,0.523809523809524,0.5,0.428571428571429,0.452380952380952
