"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"sampleSize",10,60,110,160,210,260,310,360,410,460
"",0.142857142857143,0.0476190476190476,0.0238095238095238,0.0476190476190476,0,0,0.0714285714285714,0.119047619047619,0.0714285714285714,0.0476190476190476
