"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"sampleSize",10,60,110,160,210,260,310,360,410,460
"",0.619047619047619,0.642857142857143,0.404761904761905,0.523809523809524,0.476190476190476,0.476190476190476,0.380952380952381,0.333333333333333,0.19047619047619,0.214285714285714
