"","lowerBound","upperBound","middle","corArray"
"1",0.0241259594156071,0.452497399722572,0.238311679569089,0
"2",0.0253779464022641,0.455414947797253,0.240396447099758,0
"3",0.0266229602516909,0.457738678013793,0.242180819132742,0
"4",0.027856696343664,0.459531419935697,0.243694058139681,0
"5",0.0290754050910978,0.460842218032201,0.24495881156165,0
"6",0.0302756652764834,0.461709988327538,0.245992826802011,0
"7",0.0314542755489807,0.462165957514311,0.246810116531646,0
"8",0.0326082121970966,0.462235285191164,0.24742174869413,0
"9",0.0337346233418973,0.461938114227706,0.247836368784802,0
"10",0.034830841743578,0.461290197865358,0.248060519804468,0
