"","lowerBound","upperBound","middle","corArray"
"1",0.311798605384658,0.741425862193712,0.526612233789185,0
"2",0.308789463744143,0.742489172154983,0.525639317949563,0.0988482249480614
"3",0.305667133332392,0.743467082835365,0.524567108083879,0.191125694618226
"4",0.302414307417565,0.744380586270003,0.523397446843784,0.27178465669227
"5",0.299017534317445,0.745245812405272,0.522131673361359,0.338140473806769
"6",0.295465766207776,0.746075525282696,0.520770645745236,0.389824765659598
"7",0.291749307123418,0.74688011896806,0.519314713045739,0.428141818211595
"8",0.287858984951181,0.747668306601818,0.517763645776499,0.455272231643198
"9",0.283785435084465,0.748447617915287,0.516116526499876,0.473627495064799
"10",0.27951841503349,0.749224777315321,0.514371596174405,0.485452653191823
