"","X1","X2","middle","corArray"
"1",0.404998507854067,0.426271062614103,0.415634785234085,0
"2",0.407541309237702,0.428492877300898,0.4180170932693,0.0663229626362696
"3",0.410021063625132,0.430661287914257,0.420341175769695,0.130630040067449
"4",0.412442882454845,0.432780576955151,0.422611729704998,0.191125694618226
"5",0.414811105163071,0.434854370878328,0.4248327380207,0.246406570140474
"6",0.417129461618344,0.436885778839137,0.427007620228741,0.295553781882821
"7",0.419401206589486,0.438877507784457,0.429139357186972,0.338140473806769
"8",0.421629233107711,0.440831959716029,0.43123059641187,0.374171769046126
"9",0.423816170056473,0.44275131566698,0.433283742861726,0.403985501235574
"10",0.425964468254225,0.444637610033893,0.435301039144059,0.428141818211595
"11",0.428076478567292,0.446492798298173,0.437284638432733,0.447322198174175
"12",0.430154525126624,0.448318820788226,0.439236672957425,0.462248852616438
"13",0.432200976477993,0.450117664941016,0.441159320709504,0.473627495064799
"14",0.434218317448819,0.45189142850117,0.443054872974995,0.482111391606741
"15",0.436209224666471,0.45364238625038,0.444925805458425,0.488282283228201
