"","X1","X2","middle","corArray"
"1",0.377663910120099,0.401791187902,0.38972754901105,0
"2",0.381945487686639,0.405690331991249,0.393817909838944,0.0663229626362696
"3",0.386090565455276,0.409465933410011,0.397778249432643,0.130630040067449
"4",0.390111816645725,0.413129423063113,0.401620619854419,0.191125694618226
"5",0.394020180287391,0.416690672714538,0.405355426500965,0.246406570140474
"6",0.397825213238346,0.420158311379895,0.40899176230912,0.295553781882821
"7",0.401535376304875,0.423539982822728,0.412537679563801,0.338140473806769
"8",0.4051582705674,0.426842558545127,0.416000414556263,0.374171769046126
"9",0.408700836195388,0.430072317265381,0.419386576730384,0.403985501235574
"10",0.412169523336494,0.433235099478333,0.422702311407414,0.428141818211595
"11",0.415570442779916,0.436336444020598,0.425953443400257,0.447322198174175
"12",0.418909502814603,0.43938171243099,0.429145607622797,0.462248852616438
"13",0.422192537897629,0.442376206190337,0.432284372043983,0.473627495064799
"14",0.425425434339166,0.445325281576894,0.43537535795803,0.482111391606741
"15",0.42861425816393,0.448234466855362,0.438424362509646,0.488282283228201
