"","X1","X2","middle","corArray"
"1",0.304850334802073,0.359916456668894,0.332383395735484,0
"2",0.314138628965044,0.36818121400521,0.341159921485127,0.0988482249480614
"3",0.323042279614574,0.376119824793254,0.349581052203914,0.191125694618226
"4",0.331620360442481,0.383784333723591,0.357702347083036,0.27178465669227
"5",0.339921430794882,0.391217453447719,0.3655694421213,0.338140473806769
"6",0.347986730729731,0.398455422949924,0.373221076839827,0.389824765659598
"7",0.355852620694778,0.405530192548537,0.380691406621658,0.428141818211595
"8",0.36355254589568,0.412471187967981,0.38801186693183,0.455272231643198
"9",0.371118728540675,0.419306836651739,0.395212782596207,0.473627495064799
"10",0.378583751130619,0.426066003832992,0.402324877481806,0.485452653191823
