"","lowerBound","upperBound","middle","corArray"
"1",-0.427924740242281,-0.186011140532297,-0.306967940387289,0
"2",-0.421301420150258,-0.184493486922479,-0.302897453536369,0
"3",-0.414710316115263,-0.182880030369804,-0.298795173242534,0
"4",-0.408119793201945,-0.181164884852849,-0.294642339027397,0
"5",-0.401498810276484,-0.179341126155394,-0.290419968215939,0
"6",-0.394815312793083,-0.177400423879654,-0.286107868336368,0
"7",-0.388034527049172,-0.175332547698681,-0.281683537373926,0
"8",-0.381116977271706,-0.173124693567445,-0.277120835419576,0
"9",-0.374015997559197,-0.170760546675031,-0.272388272117114,0
"10",-0.36667441470607,-0.168218950791259,-0.267446682748664,0
