"","lowerBound","upperBound","middle","corArray"
"1",0.0890233890694903,0.929332459230293,0.509177924149892,0
"2",0.0970570039320566,0.925110935043485,0.511083969487771,0.0988482249480614
"3",0.104295330832342,0.92125595732374,0.512775644078041,0.191125694618226
"4",0.110823166227696,0.917723565721877,0.514273365974786,0.27178465669227
"5",0.11670714771803,0.914478880794355,0.515593014256193,0.338140473806769
"6",0.122000452238576,0.911493672272184,0.51674706225538,0.389824765659598
"7",0.126746078215017,0.908744639392471,0.517745358803744,0.428141818211595
"8",0.130979162570305,0.906212167370982,0.518595664970643,0.455272231643198
"9",0.134728619477076,0.903879406904648,0.519304013190862,0.473627495064799
"10",0.138018284392758,0.901731574117898,0.519874929255328,0.485452653191823
