"","lowerBound","upperBound","middle","corArray"
"1",-0.559743595028827,-0.474058648835611,-0.516901121932219,0
"2",-0.544875158885245,-0.460171486131022,-0.502523322508134,0
"3",-0.530321621168317,-0.446772047041773,-0.488546834105045,0
"4",-0.515998979616621,-0.433775848362226,-0.474887413989424,0
"5",-0.501836245541885,-0.421111520385843,-0.461473882963864,0
"6",-0.487771060602533,-0.408716392560602,-0.448243726581567,0
"7",-0.473746144316661,-0.39653296417681,-0.435139554246736,0
"8",-0.459706188729645,-0.384505873692629,-0.422106031211137,0
"9",-0.445594893111197,-0.372579060883319,-0.409086976997258,0
"10",-0.431351854547432,-0.360692842660552,-0.396022348603992,0
