"","","","","","","corArray"
"1",-0.0180051670533133,-0.00848458275240836,0.162424511993831,0.0108713688965294,0.0744608381213908,0
"2",-0.0137435440985695,-0.00788239812041353,0.156264555684872,0.0144804654358245,0.0743423401407326,0
"3",-0.00936036121509053,-0.00727927082362295,0.150313595465655,0.0179509139786048,0.0741415628156983,0
"4",-0.00484894212026469,-0.00667510537896122,0.144535403364857,0.0212993047373771,0.0738639227432251,0
"5",-0.000204219259453993,-0.00607007004399483,0.138900261814331,0.0245393698031563,0.0735139618083985,0
"6",0.00457807587326457,-0.00546448792957372,0.133382942520761,0.0276828922976868,0.0730954966100836,0
"7",0.00950213979521551,-0.00485874444760989,0.127961149129342,0.0307404336061222,0.0726116982004776,0
"8",0.0145728049153434,-0.00425320320109653,0.122614247475211,0.0337219509852895,0.0720651168703521,0
"9",0.0197962846925369,-0.00364812384616337,0.117322154465435,0.0366373623958429,0.071457659067065,0
"10",0.0251810150458915,-0.00304357575895276,0.112064280545427,0.0394971093336746,0.0707905173762067,0
"11",0.0307386629852456,-0.00243934061513015,0.106818427159137,0.0423127705667098,0.0700640485450861,0
