"","V1","V2","V3","V4","V5"
"1",-0.0874859246904234,-0.0929084311504907,-0.0935872242243228,-0.0934354177251674,-0.0912540891833967
"2",-0.0872864322054908,-0.0927990785456562,-0.0936513015666007,-0.093594090260525,-0.0909349677906397
"3",-0.0870875112558231,-0.0926898206738102,-0.0937168119454796,-0.0937967274946239,-0.0906021678952972
"4",-0.0868896791569441,-0.0925808061903712,-0.093783716258451,-0.0940380820466943,-0.0902550265806581
"5",-0.0866934495077549,-0.092472218320001,-0.0938520919276977,-0.0943136665952108,-0.0898927882726656
"6",-0.0864993284272571,-0.0923642676898756,-0.0939221172058368,-0.0946195754167686,-0.0895145773655342
"7",-0.0863078082944399,-0.0922571839066834,-0.0939940680750437,-0.0949523765406479,-0.0891193546027896
"8",-0.08611936047604,-0.0921512062372336,-0.0940683256483827,-0.0953090542317098,-0.0887058543381262
"9",-0.0859344279566736,-0.0920465734616144,-0.0941453939680875,-0.0956869896799684,-0.0882724971165102
"10",-0.0857534185336288,-0.0919435127575262,-0.0942259298798475,-0.0960839734032043,-0.0878172684974723
"11",-0.0855766992114935,-0.0918422272714751,-0.0943107887259289,-0.0964982472962473,-0.0873375498447421
