"","","","","","","corArray"
"1",0.0364283783391616,-0.0286372554706613,-0.00837509053853626,-0.045126654589271,0.0263780119936542,0
"2",0.0305347483556673,-0.0285873726522712,-0.00612043672784479,-0.0358327171804145,0.0300553650065317,0
"3",0.0223191709952476,-0.0284138207877214,-0.00275754403321415,-0.0288146284355845,0.0286112315712412,0
"4",0.00884250463628524,-0.0262636854135271,-0.00131609988435207,-0.0221926828432943,0.0191043167434439,0
"5",-0.0104443640286498,-0.0204907420475059,-0.00604741292371257,-0.0138255925517403,0.00236202361722761,0
"6",-0.0294886657818744,-0.00643450092060755,-0.0151583832530113,-0.00492855383343428,-0.017771104314087,0
"7",-0.0388574412625692,0.0158973071452188,-0.0230889272615158,-0.000649704599145331,-0.0326317298523477,0
"8",-0.0349059775572579,0.0329034497640807,-0.0269240998206128,-0.00252991142954512,-0.0330890109845652,0
"9",-0.0238503420229909,0.0342561803906788,-0.0268863005806035,-0.00757148420026999,-0.0216786387337437,0
"10",-0.0144104115431239,0.0229503430916832,-0.0258274731114348,-0.0139205946674785,-0.00786622265109764,0
"11",-0.0109971040903214,0.00522647624896433,-0.0266688655788841,-0.0221750184694154,0.00429008967078597,0
