"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"sampleSize",10,60,110,160,210,260,310,360,410,460
"",0.261904761904762,0.166666666666667,0.214285714285714,0.30952380952381,0.214285714285714,0.357142857142857,0.333333333333333,0.19047619047619,0.285714285714286,0.166666666666667
