"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"sampleSize",10,60,110,160,210,260,310,360,410,460
"",0.761904761904762,0.666666666666667,0.666666666666667,0.738095238095238,0.761904761904762,0.595238095238095,0.595238095238095,0.595238095238095,0.595238095238095,0.619047619047619
