"","","","","","","corArray"
"1",0.0658240554698601,0.167762107342369,-0.0451275234311205,-0.0112414742459473,-0.108816243838637,0
"2",0.106700837877763,0.106506593420318,0.183277085729557,0.0366645843927123,0.12163272245244,0.0988482249480614
"3",0.178498574068857,0.140290005672923,0.204633207777601,0.161493171319356,0.212419774438624,0.191125694618226
"4",0.30541980081496,0.259416374282583,0.22639951182001,0.336754257539495,0.30482686026903,0.27178465669227
"5",0.405211345067177,0.302113487285335,0.341604111949521,0.319142377300874,0.324109467644115,0.338140473806769
"6",0.368393067528975,0.337023323391057,0.373557905638259,0.405776707904249,0.356340981125331,0.389824765659598
"7",0.448222870993547,0.398359114242816,0.461947179502094,0.365848959069367,0.381926527965113,0.428141818211595
"8",0.446966509129059,0.468193345037721,0.518451432755713,0.374513324290885,0.409713251991197,0.455272231643198
"9",0.404451658877918,0.517243246887263,0.430677208702599,0.455382062533886,0.492426229017772,0.473627495064799
"10",0.419491308690621,0.403653562234353,0.486382225383628,0.486208680338977,0.507343781789648,0.485452653191823
"11",0.496995981209818,0.487017996848594,0.443072859468913,0.416516325622824,0.570260533217803,0.492643334768602
