"","X1","X2","middle","corArray"
"1",-0.12964015684166,0.105314724276381,-0.0121627162826396,0
"2",-0.13150248274523,0.100833939421469,-0.0153342716618805,0.0663229626362696
"3",-0.133317588490873,0.096444422623419,-0.0184365829337269,0.130630040067449
"4",-0.135091816961786,0.0921368723816564,-0.0214774722900647,0.191125694618226
"5",-0.136830786928884,0.0879032428552926,-0.0244637720367959,0.246406570140474
"6",-0.138539536598208,0.0837364751738985,-0.0274015307121548,0.295553781882821
"7",-0.14022264235413,0.0796302722770511,-0.0302961850385394,0.338140473806769
"8",-0.14188431912385,0.0755789062548516,-0.0331527064344992,0.374171769046126
"9",-0.14352850737951,0.0715770494843355,-0.0359757289475875,0.403985501235574
"10",-0.145158950818659,0.0676196224586752,-0.0387696641799918,0.428141818211595
"11",-0.146779268111351,0.0637016522614243,-0.0415388079249634,0.447322198174175
"12",-0.148393021703108,0.0598181362557577,-0.0442874427236749,0.462248852616438
"13",-0.150003786476775,0.0559639057989564,-0.0470199403389095,0.473627495064799
"14",-0.15161522108617,0.052133484675283,-0.0497408682054435,0.482111391606741
"15",-0.153231144984251,0.0483209364481166,-0.0524551042680671,0.488282283228201
"16",-0.154855624604634,0.0445196940057914,-0.0551679652994213,0.492643334768602
