"","lowerBound","upperBound","middle","corArray"
"1",-0.293948480874546,-0.182654151488297,-0.238301316181422,0
"2",-0.293701878324431,-0.183521191572585,-0.238611534948508,0
"3",-0.293530264472312,-0.184632620861044,-0.239081442666678,0
"4",-0.293419257706502,-0.185977099464642,-0.239698178585572,0
"5",-0.29335588916672,-0.187544742999243,-0.240450316082981,0
"6",-0.29332828523978,-0.189326881443368,-0.241327583341574,0
"7",-0.293325448946869,-0.191315973441947,-0.242320711194408,0
"8",-0.293337106402627,-0.193505653895068,-0.243421380148848,0
"9",-0.293353595435988,-0.195890908609189,-0.244622252022588,0
"10",-0.293365780527921,-0.19846838409926,-0.24591708231359,0
"11",-0.293364983092727,-0.201236856145859,-0.247300919619293,0
