"","lowerBound","upperBound","middle","corArray"
"1",0.0944763745075855,0.0944763745075855,0.0944763745075855,0
"2",0.0874122260905415,0.0874122260905415,0.0874122260905415,0
"3",0.0805010596123502,0.0805010596123502,0.0805010596123502,0
"4",0.0737143713953204,0.0737143713953204,0.0737143713953204,0
"5",0.0670274057967692,0.0670274057967692,0.0670274057967692,0
"6",0.0604175889794679,0.0604175889794679,0.0604175889794679,0
"7",0.0538631654307263,0.0538631654307263,0.0538631654307263,0
"8",0.0473419081780586,0.0473419081780586,0.0473419081780586,0
"9",0.040829783656959,0.040829783656959,0.040829783656959,0
"10",0.034299442545018,0.034299442545018,0.034299442545018,0
"11",0.0277183757629278,0.0277183757629278,0.0277183757629278,0
