"","X1","X2","middle","corArray"
"1",-0.190903003495247,-0.0557742986639,-0.123338651079573,0
"2",-0.189244254128559,-0.0529443535396876,-0.121094303834123,0
"3",-0.187565132143504,-0.0502674897406799,-0.118916310942092,0
"4",-0.18586633981131,-0.0477302599746754,-0.116798299892993,0
"5",-0.184148335638281,-0.0453209674909777,-0.114734651564629,0
"6",-0.182411344487895,-0.0430293338457011,-0.112720339166798,0
"7",-0.180655355247203,-0.0408462342507307,-0.110750794748967,0
"8",-0.178880108046197,-0.038763484374204,-0.1088217962102,0
"9",-0.177085072019503,-0.0367736664935109,-0.106929369256507,0
"10",-0.175269413782629,-0.0348699857859599,-0.105069699784295,0
"11",-0.173431956072929,-0.0330461496146823,-0.103239052843805,0
"12",-0.171571125293794,-0.031296264154664,-0.101433694724229,0
"13",-0.169684885921655,-0.0296147437584506,-0.099649814840053,0
"14",-0.167770658807008,-0.0279962291844813,-0.0978834439957446,0
"15",-0.165825219222845,-0.0264355112679428,-0.0961303652453938,0
"16",-0.163844568953458,-0.02492745684131,-0.0943860128973838,0
