"","lowerBound","upperBound","middle","corArray"
"1",0.184963817940359,0.731857477531485,0.458410647735922,0
"2",0.155048758309673,0.719865808384347,0.43745728334701,0
"3",0.128302920609357,0.706593583047868,0.417448251828612,0
"4",0.104338496187477,0.692167780210776,0.398253138199126,0
"5",0.0828415401705416,0.676684363108212,0.379762951639377,0
"6",0.0635532053336494,0.660213614043831,0.36188340968874,0
"7",0.0462566377485534,0.642802782603322,0.344529710175938,0
"8",0.0307677617965937,0.624476656292891,0.327622209044742,0
"9",0.0169288273417495,0.605236297306508,0.311082562324129,0
"10",0.00460401128947108,0.585055894318904,0.294829952804188,0
"11",-0.00632333880963953,0.563877379503305,0.278777020346833,0
