"","V1","V2","V3","V4","V5"
"1",-0.0436372888053925,-0.0436372888053925,-0.0436372888053925,-0.0436372888053925,-0.0436372888053925
"2",-0.0436068882844051,-0.0436068882844051,-0.0436068882844051,-0.0436068882844051,-0.0436068882844051
"3",-0.0435765261010482,-0.0435765261010482,-0.0435765261010482,-0.0435765261010482,-0.0435765261010482
"4",-0.0435456408534339,-0.0435456408534339,-0.0435456408534339,-0.0435456408534339,-0.0435456408534339
"5",-0.0435137384728043,-0.0435137384728043,-0.0435137384728043,-0.0435137384728043,-0.0435137384728043
"6",-0.0434803711287691,-0.0434803711287691,-0.0434803711287691,-0.0434803711287691,-0.0434803711287691
"7",-0.043445121510988,-0.043445121510988,-0.043445121510988,-0.043445121510988,-0.043445121510988
"8",-0.0434075901106388,-0.0434075901106388,-0.0434075901106388,-0.0434075901106388,-0.0434075901106388
"9",-0.0433673837752917,-0.0433673837752917,-0.0433673837752917,-0.0433673837752917,-0.0433673837752917
"10",-0.0433241041260818,-0.0433241041260818,-0.0433241041260818,-0.0433241041260818,-0.0433241041260818
"11",-0.0432773344987381,-0.0432773344987381,-0.0432773344987381,-0.0432773344987381,-0.0432773344987381
