"","","","","","","corArray"
"1",0.499885660172843,0.520558974649745,0.502724138295424,0.485338833357551,0.514561055615782,0.5
"2",0.505839750559411,0.516587703288382,0.490515987334502,0.516080304776604,0.478376420318458,0.499993729159028
"3",0.48921934602329,0.49575994837933,0.495007580353885,0.474871266953794,0.503172169019811,0.499898664846181
"4",0.498810492133911,0.502703917648023,0.509525898449856,0.501467710598279,0.512462360026941,0.499478521780977
"5",0.498884700841531,0.491062711354918,0.508071724155588,0.493491177049915,0.496851478293605,0.49831434648249
"6",0.500199959011118,0.490904872264075,0.498067366025774,0.494645227584122,0.492207338029486,0.495767019915648
"7",0.488888870341279,0.491579059487475,0.482975369833634,0.500544180918878,0.485487431189789,0.490926709872451
"8",0.497774164832399,0.473110144690043,0.49706982611685,0.474294651739251,0.494425033069547,0.482555277582294
"9",0.461860885671458,0.460414376741852,0.489673525815411,0.474274355154076,0.481888033658493,0.469036352038599
"10",0.458794800992242,0.44688810893832,0.466476074979933,0.451024495233031,0.441115897531381,0.44836298172395
"11",0.412836471465555,0.394420089354845,0.448632079114693,0.417208413614894,0.397359235711245,0.418214404371278
